yokai_name,prompt,answer
アイヌカイセイ[1],"アイヌカイセイが現れるとされる場所はどこか、以下の4つから回答を1つ選び出力しなさい。
- 新しい家
- 空家
- 公園
- 神社",空家
アイヌソッキ[2],"アイヌソッキは日本の民話において、長寿をもたらすとされる生物に関連していますが、具体的に何を食べると長寿を保つとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 人魚の肉
- トドの肉
- アザラシの肉
- クジラの肉",人魚の肉
青行燈,"日本の妖怪である「青行燈」が現れるとされる場面はどのような時か、以下の4つから回答を1つ選び出力しなさい。
- 百物語の99話目が終わったとき
- 百物語の100話目が終わったとき
- 百物語の最初の話を始めたとき
- 百物語の合間に話が途切れたとき",百物語の100話目が終わったとき
青鷺火,"日本の妖怪青鷺火は、どのような現象として知られていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- サギが昼間に飛ぶ
- サギが夜間に青白く光る
- サギが地面に埋まる
- サギが水中で泳ぐ",サギが夜間に青白く光る
蒿雀,"日本の妖怪である「送り雀」は、その鳴き声を実在の鳥に例えられることが多いですが、どの鳥に例えられることが一般的でしょうか？以下の4つから回答を1つ選び出力しなさい。
- ウグイス
- アオジ
- スズメ
- カナリア",アオジ
青女房,"日本の妖怪である「青女房」が描かれる時、どのような時代の女性の姿を模しているとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 江戸時代風
- 平安時代風
- 明治時代風
- 大正時代風",平安時代風
青坊主,"日本の妖怪である「青坊主」は、どのような形で現れるとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 小さな妖精の姿
- 大きな坊主姿の人影
- 普通の人間の姿
- 動物の姿",大きな坊主姿の人影
赤足,"日本の妖怪である「赤足」が人にどのような影響を与えるとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 視力を奪う
- 足を絡めて歩きにくくする
- 声を失わせる
- 記憶を消す",足を絡めて歩きにくくする
赤えい,"日本の妖怪である「赤えい」が人々に影響を与えるとされる現象は何と記録されていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 島が海に沈む
- 雷が鳴る
- 大波が起こる
- 魚が大量に漁れる",島が海に沈む
赤頭,"日本の妖怪である「赤頭」が特徴的な髪の色とされている色は何とされていますか？以下の4つから回答を1つ選び出力しなさい。
- 青
- 緑
- 赤
- 黒",赤
アカガンター,"日本の妖怪アカガンターは、特にどのような行動をするとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 寝ている者の枕をひっくり返す
- 家の屋根に座る
- 人々を驚かせる
- 川で泳ぐ",寝ている者の枕をひっくり返す
赤子,"日本の妖怪である「赤子」の伝承において、どの地域で特に有名とされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 長野県
- 北海道
- 沖縄県
- 広島県",長野県
明石様,"日本の妖怪である「明石様」が人を斬った後、その人を斬った父親に何をされたとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 逃げられた
- 殺された
- 捕まえられた
- 助けられた",殺された
赤舌,"日本の妖怪である「赤舌」が描かれている絵巻物には、特定の建造物が描かれていることが多いとされています。その建造物は何とされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 神社
- 水門
- 橋
- 城",水門
赤シャグマ,"日本の妖怪である「赤シャグマ」が住み着いた家が栄えるとされる理由は何でしょうか？以下の4つから回答を1つ選び出力しなさい。
- 金運が上がるから
- 子供が生まれるから
- 家族が健康になるから
- 商売繁盛になるから",商売繁盛になるから
赤手児,"日本の妖怪である「赤手児」が現れる場所とされているのはどこでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 古いサイカチの木の根元
- 神社の本殿
- 山の頂上
- 川のほとり",古いサイカチの木の根元
赤殿中,"日本の妖怪である「化け狸」が人間を化かす際に用いる特有の行動は何とされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 口から火を吐く
- 腹を叩いて音を出す
- 影を利用して隠れる
- 歌を歌う",腹を叩いて音を出す
垢嘗,"日本の妖怪である「垢嘗」が食べるとされているものは何でしょうか？以下の4つから回答を1つ選び出力しなさい。
- 人間の血
- 風呂場の垢
- 古い文書
- 亡霊の魂",風呂場の垢
あかはだか,"日本の妖怪あかはだかは、胴体に顔があるとされていますが、その顔の位置はどこにあるとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 胸
- 背中
- 腕
- 足",胸
