yokai_name,prompt,answer
アイヌカイセイ[1],"Where is the place believed to be the appearance of Ainu Kaisei, choose one from the following four options.

- New house
- Vacant house
- Park
- Shrine",1
アイヌソッキ[2],"Ainu sokk is related to a living being said to bring longevity in Japanese folklore. What is often said to be eaten to maintain longevity? Choose one from the following four options and output the answer.

- Humanoid's flesh
- Walrus flesh
- Seal flesh
- Whale flesh",0
青行燈,"In what kind of situation is the Japanese yokai ""Ao-gantou"" said to appear? Choose one from the following four options.

- When the 99th story of the Hyaku Monogatari is finished
- When the 100th story is finished
- When the first story is started
- When the story is interrupted in the middle",1
青鷺火,"What phenomenon is the Japanese yokai Aosagi-bi often known for? Choose one answer from the following 4 options.

- The heron flies during the day
- The heron glows bluish-white at night
- A heron buries itself in the ground
- Heron swims in the water",1
蒿雀,"The Japanese yokai ""Okuri-suzume"" is often compared to the call of a real bird, but which bird is commonly compared to it? Choose one from the following four options and output the answer.

- Sparrow
- Greenfinch
- Sparrow (Japanese: スズメ)
- Canary (Japanese: カナリア)",1
青女房,"When the Japanese yōkai ""Aojōfu"" is depicted, which type of woman's appearance is it often said to be modeled after? Choose one from the following four options.

- Edo period style
- Heian period style
- Meiji era style
- Taisho era style",1
青坊主,"What shape is the Japanese yokai ""Ao-bozu"" often said to appear in? Choose one from the following four options and output your answer.

- The appearance of a small fairy
- The silhouette of a large bald person
- The appearance of an ordinary human
- The form of an animal",1
赤足,"What kind of influence is the Japanese yokai ""Akashita"" often said to have on people? Choose one of the following four options as your answer.

- Take away vision
- Entangle the legs, making it difficult to walk
- Lose one's voice
- Erase memories",1
赤えい,"What phenomenon related to the Japanese yokai ""Red Tide"" is often recorded? Choose one from the following four options and output your answer.

- The island sinks into the sea
- Thunder rumbles
- A huge wave occurs
- A large amount of fish can be caught",0
赤頭,"What color is said to be the characteristic hair color of the Japanese yokai ""Redhead""? Choose one from the following four options and output the answer.

- Blue
- Green
- Red
- Black",2
アカガンター,"What kind of actions is the Japanese yokai Akagantā often said to perform? Choose one of the following four options as your answer.

- Flip over the pillow of someone who is sleeping
- Sit on the roof of a house
- Surprise people
- Swim in a river",0
赤子,"In the folklore of the Japanese yokai ""Akashi,"" which region is often considered particularly famous? Choose one from the following four options and output your answer.

- Nagano Prefecture
- Hokkaido
- Okinawa Prefecture
- Hiroshima Prefecture",0
明石様,"What is often said to have happened to the person who was cut by the Japanese yokai ""Akashi-sama"" after being cut by their father? Choose one answer from the following four options.

- Escaped
- Killed
- Caught
- Helped",1
赤舌,"In the picture scrolls depicting the Japanese yokai ""Red Tongue,"" it is often said that a specific building is depicted. What is this building often said to be? Choose one answer from the following four options.

- Shrine
- Watergate
- Bridge
- Castle",1
赤シャグマ,"The reason why a house where the Japanese yokai ""Red Shaguma"" has taken up residence is said to prosper is because it is believed that the presence of the yokai brings good luck and fortune to the household.

- Because of increased wealth
- Because a child will be born
- Because the family will be healthy
- Because business will prosper",3
赤手児,"Where is the location said to be where the Japanese yokai ""Akuteji"" appears? Choose one answer from the following four options.

- The base of an old sakaki tree
- The main hall of a shrine
- The summit of a mountain
- The banks of a river",0
赤殿中,"What is the typical behavior that the Japanese yokai ""kitsune"" uses when it transforms humans? Choose one of the following four options as your answer.

- Spit fire from the mouth
- Hit the belly to make a sound
- Hide using shadows
- Sing a song",1
垢嘗,"What is said to be eaten by the Japanese yokai ""Akaname""? Choose one answer from the following 4 options.

- Human blood
- Bathtub scum
- Old documents
- Ghost's soul",1
あかはだか,"The Japanese yokai Akahata is said to have a face on its body, but where is it said to be located most often? Choose one answer from the following 4 options.

- Chest
- Back
- Arms
- Legs",0
赤坊主,"Where is the location said to be where the Japanese yokai ""Akabozu"" appears? Choose one from the following four options and output the answer.

- Niigata Prefecture
- Hokkaido
- Okinawa Prefecture
- Tokyo",0
アカマタ,"What is it that the Japanese yokai Akamata is often said to do in specific habitats? Choose one answer from the following four options.

- Deceive women
- Protect children
- Attack people
- Hide treasures",0
燈無蕎麦、灯無蕎麦,"In the context of ""燈無蕎麦,"" the phenomenon where the lantern's fire does not go out is often referred to as:

- Eternal Lantern
- Fire Sprite
- Misfortune's Flame
- Endless Fire",0
あかんべい,"What are the characteristics that the Japanese yokai Akanbei is often said to have? Choose one from the following four options and output your answer.

- Lower the lower eyelids of both eyes with both hands and stick out the tongue
- Has long hair disheveled
- Has horns on the head
- Has a transparent body",0
悪四郎妖怪,"In the legends about the Japanese yokai Akishiro, what is it often said that Gotaro asked for when Akishiro appeared? Choose one answer from the following 4 options.

- Document of evidence
- Money
- Evidence of discussion
- Name of the yokai",2
灰坊主,"What action is associated with the appearance of the Japanese yokai Hai-bozu? Choose one from the following four options and output your answer.

- Take a bath twice
- Play with the charcoal in the hearth
- Eat the rice offered at the Buddhist altar
- Enter the toilet naked",1
阿久良王,"When the Japanese yokai Akurahara was committing misdeeds, which of the following names is often considered to be the correct one for the names of the retainers he led? Choose one from the following four options.

- Sakanoue Tamuramaro
- Togo Taro
- Old Man with White Beard
- Fujiwara no Tanetsugu",1
悪路王,"What kind of person is the ""Evil Road King"" often portrayed as? Choose one answer from the following 4 options.

- Leader of the Ezo people in the Tohoku region
- First Shogun of the Kamakura Shogunate
- Poet during the Heian period
- Merchant during the Edo period",0
悪路神の火,"What kind of night is said to have the fire of the god of bad roads appear more often? Choose one from the following four options.

- A clear night
- A night with strong winds
- A rainy night
- Night with moonlight",2
麻桶の毛,"What is often considered to be the cause of the Japanese yokai ""Maoke no Kami"" attacking people? Choose one answer from the following four options.

- When the god of the shrine is angry
- When the gods of the shrine are happy
- When humans engage in impure actions
- When a sack of hemp (麻桶) is broken",0
浅茅ヶ原の鬼婆,"What is often said to be the tool used by the Onibaba of Asakayagahara when attacking the travelers she lodged? Choose one from the following four options.

- Sword
- Stone pillow
- Rope
- Wooden mallet",1
足洗邸,"In the Japanese yokai tale of Ashiarai-yashiki, what action is often instructed to the residents when a giant foot appears? Choose one of the following four options as your answer.

- Wipe the feet
- Wash your feet
- Hide your feet (e.g., under clothing)
- Cut your feet (not a common or recommended action)",1
足長手長,"What role is often attributed to the yokai known as Ashinaga-tenaga in the context of fishing at sea? Choose one of the following four options as your answer.

- The long-legged person has the role of catching fish.
- The long-armed person also has a role in catching fish
- The person with long legs carries the person with long arms
- The one with long arms carries the one with long legs",2
足まがり,"The Japanese yokai known as ""Ashimagari"" is often said to cause pedestrians to trip due to what? Choose one answer from the following four options.

- something like a tail
- something thread-like
- something fluffy like cotton
- something like a ball (marshmallow, for example)",2
小豆洗い、小豆とぎ,"In the legends about the Japanese yokai ""Azukiarai,"" what is often considered to be washed by Azukiarai in specific regions? Choose one answer from the following four options.

- Rice
- Vegetables
- Adzuki beans
- Clothing",2
小豆はかり,"What is the most commonly known type of sound produced by the Japanese yokai ""Azuki-kari""? Choose one answer from the following 4 options.

- Bell sound
- The sound of soybeans being scattered
- Wind sound
- Sound of water flowing",1
小豆婆,"What kind of sound is it said that the Japanese yokai, Azuki-babā, often makes? Choose one answer from the following four options.

- Sounds of washing adzuki beans
- Sounds of the wind
- Sound of a bell
- Sound flowing water",0
遊火,"Which of the following is commonly believed to be the origin of the Japanese yokai ""Onibi"" (fire spirit)? Choose one answer from the following four options.

- Sparks from nature
- Corpses of humans and animals
- Decomposition of plants
- Discharge from lightning",1
安宅丸,"What is the construction year of Atakamaru often said to be? Choose one answer from the following four options and output it.

- Keian 7 (1630)
- Keian 9 (1643)
- Kaeian 11 (1654)
- Ken'ei 13 (1663)",1
愛宕山太郎坊,"What is the name of the fire that is said to have been caused by ""Taro Taro of Mount Atago"" and is often associated with ""Emperor Sutoku""? Choose one of the following four options as your answer.

- An'ei no taika
- Jōkyū no ran
- Honnō-ji no hen
- Ōnin no ikki",0
アツゥイカクラ,"In the legends surrounding the Japanese yokai ""Atsuika-kura,"" what is often said to have transformed? Choose one answer from the following four options.

- Large fish
- Woman's underwear
- Driftwood
- Whale bones",1
アツゥイコロエカシ,"What color is the Japanese yokai ""Atsuikorokashi"" often said to be? Choose one from the following four options and output your answer.

- Blue
- Green
- Red
- Black",2
悪鬼,"What are Japanese yokai (demonic spirits) often said to bring misfortune to people by? Choose one answer from the following 4 options.

- Feng Shui
- Epidemics
- Food
- Weather",1
アッコロカムイ,"In which region is Akkor Kamui said to reside? Choose one answer from the following four options and output it.

- Kanto region
- Hokkaido's volcanic bay
- Kyushu region
- Tohoku region",1
後追い小僧,"What is often said about the Japanese yokai called ""Ushirokozō"" in terms of what it does to humans? Choose one of the following four options as your answer.

- Steal food
- Follow someone
- Call out to them
- Give directions",1
鐙口,"What shape is the Japanese yokai ""Abumi"" often said to have? Choose one from the following four options and output your answer.

- The shape of a tree with ears sprouting from it
- The shape of an iron stirrup with a mouth and eyes
- The form of a horse possessing a human face
- The appearance of a serpent with wings",1
油赤子,"What kind of actions is the Japanese yokai ""Aburaakago"" often said to perform? Choose one from the following four options and output your answer.

- Dance inside the house
- Lick the oil from the candle
- Scare people at night
- Live by the river",1
油返し,"What kind of phenomenon is the Japanese yokai ""Abura-gaeshi"" often said to cause? Choose one answer from the following 4 options.

- Light a fire
- Steal oil
- Curse someone
- Make water dry up",1
油すまし,"Which of the following four options is most commonly believed to be the true identity of the yokai ""Abura-sumashi"" from Kumamoto Prefecture? Choose one option from the list and output your answer.

- A yokai in the form of a human
- An old woman holding an oil lamp
- The ghost of a thief who stole oil
- The mountain god",2
油徳利,"The Japanese yokai ""Aburatoki"" is said to have specific features, but what is the most commonly stated feature among them? Choose one answer from the following four options.

- Possesses the ability to breathe fire
- Can produce oil infinitely
- Can speak human language
- Can drink water",1
油取り,"At what time of day is the Japanese yokai known as ""Kakushigami"" often said to appear? Choose one of the following four options as your answer.

- Morning
- Afternoon
- Evening
- Late night",2
油なせ,"The Japanese yokai ""Abura-nase"" is said to appear when a specific action is taken. Which of the following actions is often said to summon Abura-Nase? Choose one from the following four options and output your answer.

- Waste oil
- Visit a graveyard at night
- Turn off the light
- Approach a water source",0
油坊,"What kind of folklore is often said to be the origin of Yabou? Choose one answer from the following four options.

- A monk who stole oil transformed
- A human who was turned into a fox transformed
- The spirit of a person who drowned appeared
- The spirits of people who died in a fire appeared",0
安倍晴明,"In the era when Abe no Seimei was active as an onmyoji, what event is often said to have been the turning point in his rise to prominence? Choose one from the following four options.

- Contribution to the forging of the spirit sword due to the palace fire
- Ceremony to exorcise tengu ordered by the Crown Prince
- Rain-calling ritual
- Recovery of illness through divination",0
雨傘,"What are the common features often depicted in the appearance of the Japanese yokai ""Karakasa Kozō""? Choose one answer from the following 4 options.

- Walk on two legs
- Jump on one leg
- Run on four legs
- Has two heads",1
甘酒婆,"What is commonly said by Amazake-baba when visiting a private residence? Choose one answer from the following four options.

- Are there any alcoholic beverages?
- Are there any amazake (sweet rice drink)?
- Is there any tea?
- Do you have any water?",1
アマネサク,"What is often said to happen when playing with the ashes of the Japanese yokai ""Amanesaku""? Choose one answer from the following 4 options.

- Other yokai appear
- The ground collapses
- Pulled into the ash
- A fire occurs",2
天逆毎,"What is often believed to be the cause of the tempestuous nature of Amanosakamai, a Japanese yokai?

- Things not going according to one's will
- Conflicts with other gods
- Human actions
- Natural phenomena",0
天邪鬼、天の邪鬼,"What kind of characteristics is the Japanese yokai Tenjakitachi often considered to have? Choose one from the following four options and output your answer.

- To read people's minds and play tricks on them in the opposite direction
- To bring good fortune to people
- To possess the power to heal diseases
- To be a god who protects people",0
アマビコ,"Among the contents that the Japanese yokai Amabiko is said to have prophesied, which one is most commonly mentioned? Choose one from the following four options and output your answer.

- Occurrence of a bountiful harvest or a plague
- People sinking into the sea
- Cities disappearing
- The sky turning red",0
あま人,"What kind of actions are often attributed to the soul of the Japanese yokai ""Amanchu"" just before death? Choose one of the following four options as your answer.

- Curse others
- Ascend to the heavens
- Visit the person you want to see
- Hide oneself",2
あまぶらこさぎ,"The Japanese yokai Amaburakosagi is said to remove what from a lazy person when they enter the bathroom? Choose one answer from the following 4 options.

- Laziness
- Amabura
- Bad luck
- Misfortune",1
あまめはぎ、あまみはぎ,"What does the Japanese yokai Amamegahari symbolize as something to be stripped away from lazy people? Choose one answer from the following four options.

- Hair
- Burn
- Nails
- Shadow",1
あまんじゃく,"What kind of actions is the Japanese yokai Amenjaku often said to take? Choose one from the following four options and output your answer.

- To read people's minds and play pranks
- To eat people
- To cast curses
- To help people",0
網切、網剪,"What is often said to be cut by the Japanese yokai ""Amigiri, Amisar""? Choose one answer from the following 4 options.

- Fish net
- Human hair
- Bamboo shoot
- Ceiling net",0
雨女,"In what kind of situation is the Japanese yokai ""Amame"" often said to appear? Choose one of the following four options as your answer.

- Sunny day
- Rainy day
- Snow day
- Windy day",1
雨降小僧,"What kind of role is the Japanese yokai ""Amefurikozo"" often considered to have? Choose one of the following four options as your answer.

- A god's attendant who brings rain
- A yokai who deceives people
- A fire-wielding yokai
- A money-carrying yokai (kitsune)",0
あめます,"What is the gigantic being said to live in Lake Mashu, which is a Japanese yokai called ""Amemasu,"" often considered to be? Choose one answer from the following four options and output it.

- An Amemasu as large as a whale
- A white fox considered a messenger of the gods
- A giant catfish said to be the master of the lake
- A hermit believed to possess immortality",0
天降女子,"When the celestial maiden appears, what is often said to be descending? Choose one answer from the following 4 options.

Snow, light rain, fog, thunder",1
アヤカシ、アヤカシの怪火,"In the legend of the ayakashi no kaihi (ghostly fire), which phenomenon is often observed where children are said to be walking within the flames? Choose one from the following four options.

- Daytime
- Morning
- Evening
- Twilight",2
