"model_name","日本語LLM評価","LLMリーダーボード3"
GPT-4o (gpt-4o-2024-05-13),0.7791,"8.450000000000001"
Qwen2.5-72B-Instruct,0.7594,"8.4375"
Qwen2-72B-Instruct,0.7228,"7.4937499999999995"
Llama 3 Youko 70B Instruct,0.7222,""
Gemma 2 27B IT,0.7103,"7.63125"
Llama-3.1-70B-Japanese-Instruct-2407,0.6902,"7.5375"
Llama 3.1 405B Instruct,0.6782,"7.9125000000000005"
Gemma 2 9B IT,0.6753,""
GPT-3.5 (gpt-3.5-turbo-0125),0.6661,"6.81875"
Llama 3.3 70B Instruct,0.6618,"7.35"
Llama 3.1 Swallow 70B Instruct v0.1,0.6547,"6.612500000000001"
Llama 3.1 70B Instruct,0.6521,"7.025"
Llama 3.1 Swallow 8B Instruct v0.3,0.6424,""
Llama 3 70B Instruct,0.6424,"7.075"
Aya Expanse 32B,0.6393,"7.356249999999999"
Llama 3 heron brain 70B v0.3,0.6266,"6.61875"
Qwen2.5-7B-Instruct,0.6134,"6.864144736842105"
Tanuki-8x8B-dpo-v1.0,0.6119,"6.956250000000001"
Phi-3.5-MoE Instruct,0.6112,""
Qwen2-7B-Instruct,0.603,"6.356249999999999"
CyberAgentLM3-22B-chat,0.5997,"6.93125"
GRIN-MoE,0.5893,""
Llama 3 Swallow 70B Instruct,0.5809,"6.1499999999999995"
Aya Expanse 8B,0.5608,"6.9125"
Llama 3.1 Swallow 8B Instruct v0.2,0.5584,"6.28125"
Mixtral-8x22B-Instruct-v0.1,0.5546,""
Mistral-NeMo-Instruct-2407 (12B),0.5539,""
Llama 3 Youko 8B Instruct,0.5496,""
Llama-3-ELYZA-JP-8B,0.5382,"6.081250000000001"
Llama 3.1 Swallow 8B Instruct v0.1,0.5327,"5.36875"
KARAKURI LM 8x7B Instruct v0.1,0.5306,"5.91875"
Qwen2.5-3B-Instruct,0.5303,"5.725"
llm-jp-3-13b-instruct,0.518,"5.675000000000001"
Gemma 2 Baku 2B IT,0.5103,""
Gemma 2 2B IT,0.5095,"5.716118421052632"
Llama 3 8B Instruct,0.4926,"6.20625"
Gemma 2 JPN,0.4908,""
KARAKURI LM 70B Chat v0.1,0.4797,"5.6875"
Llama 3 Swallow 8B Instruct,0.4766,"5.125"
Mixtral-8x7B-Instruct-v0.1,0.4728,"5.34375"
Llama 3 heron brain 8B v0.3,0.4656,""
Tanuki-8B-dpo-v1.0,0.4652,""
Llama 3.1 8B Instruct,0.4651,"5.731249999999999"
Phi-3-Mini-128K-Instruct,0.4538,"5.0625"
Swallow-70b-instruct-v0.1,0.446,"3.9437499999999996"
OLMo-2-1124-13B-Instruct,0.4384,""
Mistral-NeMo-Minitron 8B Instruct,0.3949,""
llm-jp-3-3.7b-instruct,0.3875,"4.975"
Qwen2.5-1.5B-Instruct,0.3834,"3.9000000000000004"
RakutenAI-7B-chat,0.3699,"4.137499999999999"
Mistral-7B-Instruct-v0.3,0.364,""
Swallow-7b-instruct-v0.1,0.3578,""
Llama 3.2 3B Instruct,0.344,"4.61875"
llm-jp-3-1.8b-instruct,0.3433,"4.7"
Swallow-MS-7b-instruct-v0.1,0.3398,"4.18125"
OLMo-2-1124-7B-Instruct,0.3293,""
CyberAgentLM2-7B-chat,0.3118,"3.8562499999999997"
Llama 3.2 1B Instruct,0.1959,"2.9125000000000005"
Qwen2.5-0.5B-Instruct,0.1899,"2.59375"
Llama 3 Swallow 8B,0.1464,""
"mistralai/Mistral-Large-Instruct-2411","","8.175"
"Qwen/Qwen2.5-32B-Instruct","","7.99375"
"anthropic.claude-3-opus-20240229-v1:0","","8.212499999999999"
"us.amazon.nova-pro-v1:0","","8.25"
"gpt-4o-mini-2024-07-18","","8.30625"
"AXCXEPT/EZO-Qwen2.5-72B-Instruct","","8.28125"
"gemini-1.5-pro-001","","7.8812500000000005"
"google/gemma-2-27b-it","","7.63125"
"mistral-large-2407","","7.949999999999999"
"gpt-4-0613","","7.5625"
"AXCXEPT/EZO-Qwen2.5-32B-Instruct","","8.29375"
"meta-llama/Llama-3.2-90B-Vision-Instruct","","7.487500000000001"
"plamo-1.0-prime","","6.456250000000001"
"anthropic.claude-3-sonnet-20240229-v1:0","","7.3125"
"gemini-1.5-flash-001","","7.6"
"Qwen/Qwen2.5-14B-Instruct","","7.70625"
"command-r-plus-08-2024","","7.35625"
"nvidia/Llama-3.1-Nemotron-70B-Instruct-HF","","8.325"
"CohereForAI/c4ai-command-r-plus-08-2024","","7.21875"
"solar-pro-241126","","6.80625"
"us.amazon.nova-micro-v1:0","","7.5625"
"anthropic.claude-3-haiku-20240307-v1:0","","7.13125"
"us.amazon.nova-lite-v1:0","","7.80625"
"CohereForAI/c4ai-command-r-08-2024","","6.78125"
"Qwen/QwQ-32B-Preview","","7.30625"
"llm-jp/llm-jp-3-172b-beta2-instruct2","","6.125"
"open-mistral-nemo","","6.4875"
"karakuri-ai/karakuri-lm-8x7b-chat-v0.1","","5.84375"
"microsoft/Phi-3-medium-128k-instruct","","6.38125"
"solar-1-mini-chat-ja","","5.6625"
"meta-llama/Llama-3.2-11B-Vision-Instruct","","5.825"
"llm-jp/llm-jp-3-172b-beta1-instruct","","4.2375"
"01-ai/Yi-34B-Chat","","5.39375"
"01-ai/Yi-1.5-34B-Chat","","5.675"
"ibm-granite/granite-3.0-8b-instruct","","3.875"
"augmxnt/shisa-gamma-7b-v1","","3.95"
"stabilityai/japanese-stablelm-2-instruct-1_6b","","3.35625"
"elyza/ELYZA-japanese-Llama-2-13b-instruct","","4.0875"
"Qwen/Qwen2-1.5B-Instruct","","3.2375"
"SakanaAI/EvoLLM-JP-v1-7B","","4.575"
"tokyotech-llm/Swallow-13b-instruct-v0.1","","4.775"
"SakanaAI/EvoLLM-JP-A-v1-7B","","3.8062500000000004"
"tokyotech-llm/Swallow-MS-7b-instruct-v0.1","","4.18125"
"ibm-granite/granite-3.0-2b-instruct","","3.6125"
"mistralai/Mistral-7B-Instruct-v0.2","","4.65625"
"Qwen/Qwen2.5-0.5B-Instruct","","2.59375"
"cyberagent/calm2-7b-chat-dpo-experimental","","4.3125"
"meta-llama/Llama-3.2-1B-Instruct","","2.9125000000000005"
