,0
gpt4o-mini,8.30625
gpt4o,8.55
qwen2.5-32b-instruct,7.99375
calm3-chat,6.93125
qwen2.5-7b-instruct,6.864144736842105
qwen2.5-14b-instruct,7.70625
llama-3.1-swallow-8b-instruct-v0.2,6.28125
qwen2-7b-instruction,6.356249999999999
meta-llama-3.1-8b-instruct,5.731249999999999
qwen2.5-3b-instruct,5.725
eurollm-9b-instruct,0
llm-jp-3-13b-insturct,5.675000000000001
swallow-13b-instruct-v0.1,4.775
gemma-2-2b-it,5.716118421052632
llm-jp-3-3.7b-instruct,4.975
swallow-7b-instruct-v0.1,0
llm-jp-3-1.8b-instruct,4.7
gemma-2-27b-it,7.63125
eurollm-1.7b-instruct,0
llama-3.2-3b-instruct,4.61875
meta-llama-3-8b-instruct,6.20625
tanuki-8x8b-dpo-v1.0,6.956250000000001
llama-3.1-70b-japanese-instruct-2407,7.5375
llama-3.1-swallow-70b-instruct-v0.1,6.612500000000001
mistral-7b-instruct-v0.2,4.65625
llama-3-elyza-jp-8b,6.081250000000001
meta-llama-3.3-70b-instruct,7.35
llama-3.1-swallow-8b-instruct-v0.1,"5.36875"
mistral-nemo-instruct-2407,6.172487
gemma-2-9b-it,7.115144182
tanuki-8b-dpo-v1.0,6.4
llama-3.1-swallow-8b-instruct-v0.3,7.019992
